BERT_Input
2023-03-01 to 2023-03-31. ArAr to Iraq Road
2023-03-01 to 2023-03-31. Turayf to ArAr Road
2023-03-01 to 2023-03-31. Rafhaa to ArAr Road
2023-03-01 to 2023-03-31. ArAr to Rafha Road - to be removed
2023-03-01 to 2023-03-31. ArAr to Rafha Road
2023-03-01 to 2023-03-31. Rafha to Lina Road - Road No. 6262
2023-03-01 to 2023-03-31. Hafar Al Batin to Kuwait Road - Transferred
2023-03-01 to 2023-03-31. Kuwait to Hafar Al Batin Road - Transferred
2023-03-01 to 2023-03-31. Hafar Al Batin - Kuwait Road - to be removed
2023-03-01 to 2023-03-31. Kuwait - Hafar Al Batin Road - to be removed
2023-03-01 to 2023-03-31. Hafar Al Batin to Dammam Road - Transferred
2023-03-01 to 2023-03-31. Dammam to Hafar Al Batin Road - Transferred
2023-03-01 to 2023-03-31. Nairiya to Hufof Road - to be removed
2023-03-01 to 2023-03-31. Abu Hadriya to Nairiya Road
2023-03-01 to 2023-03-31. Dammam to Khafji Road
2023-03-01 to 2023-03-31. Sarar to Shahaf Road
2023-03-01 to 2023-03-31. Abu Hadria to Bharain Road - Transferred
2023-03-01 to 2023-03-31. Abu Hadria to Bharain Road - Transferred
2023-03-01 to 2023-03-31. Dharan to Jubail Road - Transferred
2023-03-01 to 2023-03-31. Dharan to Jubail Road - Transferred
2023-03-01 to 2023-03-31. Jubail to Dammam Road
2023-03-01 to 2023-03-31. Dammam to Jubail Road - Transferred
2023-03-01 to 2023-03-31. Baquiq to Mina Road - Transferred
2023-03-01 to 2023-03-31. Baquiq to Mina Road- Transferred
2023-03-01 to 2023-03-31. Jubail to Riyadh Road
2023-03-01 to 2023-03-31. Riyadh to Jubail Road
2023-03-01 to 2023-03-31. Riyadh to Dammam Road
2023-03-01 to 2023-03-31. Dammam to Riyadh Road
2023-03-01 to 2023-03-31. Riyadh to Dammam Road - Transferred
2023-03-01 to 2023-03-31. Dammam to Riyadh Road - Transferred
2023-03-01 to 2023-03-31. Baquiq -Riyadh -Salasil Road
2023-03-01 to 2023-03-31. Dharan to Abqiq Road
2023-03-01 to 2023-03-31. Abqiq to Dharan Road
2023-03-01 to 2023-03-31. Dammam to Jubail Road
2023-03-01 to 2023-03-31. Dammam to Riyadh Road
2023-03-01 to 2023-03-31. Riyadh to Dammam Road
2023-03-01 to 2023-03-31. Nairiyah to Hufof Road
2023-03-01 to 2023-03-31. Hofuf to Riyadh Road
2023-03-01 to 2023-03-31. Riyadh to Hofuf Road
2023-03-01 to 2023-03-31. Batha to Al Kharj Road
2023-03-01 to 2023-03-31. Harad to Hofuf Road
2023-03-01 to 2023-03-31. Hufof to Harad Road
2023-03-01 to 2023-03-31. Batha to Harad Road
2023-03-01 to 2023-03-31. Batha to Al Kharj Road
2023-03-01 to 2023-03-31. Harad to Batha
2023-03-01 to 2023-03-31. UEA - Saudi Border (Batha - Salwa Road) - to be removed
2023-03-01 to 2023-03-31. Saudi - UAE Border Check Point - to be removed
2023-03-01 to 2023-03-31. Hofuf to Salwa Road
2023-03-01 to 2023-03-31. Salwa to Hufof
2023-03-01 to 2023-03-31. Abu Hadriya to Hafar Al Batin Road
2023-03-01 to 2023-03-31. Hafar Al Batin to Abu hadriya Road
2023-03-01 to 2023-03-31. Al Ayun to Uqair Road # 612
2023-03-01 to 2023-03-31. Riyadh to Al Hasa Road
2023-03-01 to 2023-03-31. Al Hasa to Riyadh Road
2023-03-01 to 2023-03-31. Al Hasa to Salwa Road
2023-03-01 to 2023-03-31. Majjmah to Hafir Batin Road
2023-03-01 to 2023-03-31. Hafir Batin to Majjmah Road
2023-03-01 to 2023-03-31. As Sadawi to Al Rafeah Road
2023-03-01 to 2023-03-31. Rafha to Linah to Samuda Road
2023-03-01 to 2023-03-31. Shebah to Salwa Road
2023-03-01 to 2023-03-31. Oman - Saudi Border Check Point
2023-03-01 to 2023-03-31. Saudi to Oman Border
2023-03-01 to 2023-03-31. Khafji to kuwait Road - Transferred
2023-03-01 to 2023-03-31. Al Khafji to Dammam Road - Transferred
2023-03-01 to 2023-03-31. Hafar Al Batin to Khafji Road
2023-03-01 to 2023-03-31. Laith to Qunfodah Road
2023-03-01 to 2023-03-31. Qunfodah to Laith Road
2023-03-01 to 2023-03-31. Qunfodah to Darb Road
2023-03-01 to 2023-03-31. Darb to Qunfodah Road
2023-03-01 to 2023-03-31. Taif to Al Baha Road
2023-03-01 to 2023-03-31. Al Baha to Taif
2023-03-01 to 2023-03-31. Bani Saad to Taif Road
2023-03-01 to 2023-03-31. Taif to Riyadh Road
2023-03-01 to 2023-03-31. Riyadh to aif Road
2023-03-01 to 2023-03-31. Taif to Riyadh Road
2023-03-01 to 2023-03-31. Riyadh to Taif Road
2023-03-01 to 2023-03-31. Taif to Umm Adoom Road
2023-03-01 to 2023-03-31. Makkah to Al Sail Al Kaber Road
2023-03-01 to 2023-03-31. Taif to Al Sayl Al Kaber Road
2023-03-01 to 2023-03-31. Riyadh to Taif Road (Transferred)
2023-03-01 to 2023-03-31. Al Hada to Al Shafa Road - Transferred
2023-03-01 to 2023-03-31. Al Shafa - Al Hada - Transferred
2023-03-01 to 2023-03-31. Makkah to Taif Road
2023-03-01 to 2023-03-31. Taif to Makkah Road
2023-03-01 to 2023-03-31. Makkah to Madina Road - to be removed
2023-03-01 to 2023-03-31. Jeddah to Makkah Road
2023-03-01 to 2023-03-31. Makkah to Jeddah Road
2023-03-01 to 2023-03-31. Jeddah to Madina Road - Transferred
2023-03-01 to 2023-03-31. Madina to Jeddah Road - Transferred
2023-03-01 to 2023-03-31. Jeddah to Makkah Road (Al-Harmin) - Transferred
2023-03-01 to 2023-03-31. Makkah to Jeddah Road (Al-Harmin) - Transferred
2023-03-01 to 2023-03-31. Madina - Makkah road
2023-03-01 to 2023-03-31. Makkah - Madina Road
2023-03-01 to 2023-03-31. Jeddah to Makkah Expressway - Transferred
2023-03-01 to 2023-03-31. Makkah to Jeddah Expressway - Transferred
2023-03-01 to 2023-03-31. Asfan to Jeddah Road - Transferred
2023-03-01 to 2023-03-31. Jeddah to Asfan Road - Transferred
2023-03-01 to 2023-03-31. Jeddah to Madina - Makkah High Way - to be removed
2023-03-01 to 2023-03-31. Madina-Makkah High Way to Jeddah Road - to be removed
2023-03-01 to 2023-03-31. Makkah to Madina Road
2023-03-01 to 2023-03-31. Madina to Makkah Road
2023-03-01 to 2023-03-31. Jeddah to Laith Road
2023-03-01 to 2023-03-31. Laith to Jeddah Road
2023-03-01 to 2023-03-31. Jeddah to Taif Road (Stopped)
2023-03-01 to 2023-03-31. Makkah to Lith Road
2023-03-01 to 2023-03-31. Khormah to Rania Road (Stopped)
2023-03-01 to 2023-03-31. Bisha to Rania Road
2023-03-01 to 2023-03-31. Jeddah to Yanbu Road
2023-03-01 to 2023-03-31. Yanbu to Jeddah Road
2023-03-01 to 2023-03-31. Jeddah to Madina Road
2023-03-01 to 2023-03-31. Madina to Jeddah Road
2023-03-01 to 2023-03-31. Turbah to Al-Ganoub Road
2023-03-01 to 2023-03-31. Taif to Turbah Road
2023-03-01 to 2023-03-31. Tabuk to Madina Road - Transferred
2023-03-01 to 2023-03-31. Madina to Qassim Road
2023-03-01 to 2023-03-31. Madinah to Yanbu Road
2023-03-01 to 2023-03-31. Yanbu to Madina
2023-03-01 to 2023-03-31. Madina to Makkah Road
2023-03-01 to 2023-03-31. Makkah to Madina Road - Transferred
2023-03-01 to 2023-03-31. Makkah - Madina Road
2023-03-01 to 2023-03-31. Madina - Makkah Road
2023-03-01 to 2023-03-31. Madina to Olla Road
2023-03-01 to 2023-03-31. Madina to Tabok Road
2023-03-01 to 2023-03-31. Tabuk to Madina Road
2023-03-01 to 2023-03-31. Madina to Tabuk Ring Road 2 - to be removed
2023-03-01 to 2023-03-31. Tabuk to Madina Ring Road 2 (Transferred)
2023-03-01 to 2023-03-31. Qassim to Madina Road
2023-03-01 to 2023-03-31. Yanbu to Jaddah Road
2023-03-01 to 2023-03-31. Qassim to Madina Road
2023-03-01 to 2023-03-31. Madina to Qassim Road
2023-03-01 to 2023-03-31. Buraida to Unaiza Road - Transferred
2023-03-01 to 2023-03-31. Unaiza to Buraida Road - Transferred
2023-03-01 to 2023-03-31. Unaiza to (Gamas) Airport Road
2023-03-01 to 2023-03-31. Gamas (Airport Road) to Unaiza
2023-03-01 to 2023-03-31. Muznab to Unaiza Road (Stopped)
2023-03-01 to 2023-03-31. Hail to Qassim Road
2023-03-01 to 2023-03-31. Qassim to Hail Road
2023-03-01 to 2023-03-31. Qassim to Sherry Road
2023-03-01 to 2023-03-31. Riyadh to Qassim Road
2023-03-01 to 2023-03-31. Qassim to Riyadh Road
2023-03-01 to 2023-03-31. Hail to Baqaa Road - Transferred
2023-03-01 to 2023-03-31. Qassim to Hail Road
2023-03-01 to 2023-03-31. Hail to Qassim Road
2023-03-01 to 2023-03-31. Al Adwa to Hail Road
2023-03-01 to 2023-03-31. Hail to Buraida Road
2023-03-01 to 2023-03-31. Tabouk to Hail Road
2023-03-01 to 2023-03-31. Hail To Tabuk Road
2023-03-01 to 2023-03-31. Hail to Madina Road
2023-03-01 to 2023-03-31. Hail to Al Jouf Road
2023-03-01 to 2023-03-31. Al Jouf to Hail Roa - Transferred
2023-03-01 to 2023-03-31. Jubbah toHail Road - Transferred
2023-03-01 to 2023-03-31. Hail to Jubbah Road - Transferred
2023-03-01 to 2023-03-31. Bagaa to Turba Road
2023-03-01 to 2023-03-31. Hail to Madina
2023-03-01 to 2023-03-31. Madina to Hail
2023-03-01 to 2023-03-31. Madina to Hail Road
2023-03-01 to 2023-03-31. Qunfoza to Al Bark Road (Stopped)
2023-03-01 to 2023-03-31. Al Brk to Qunfozah Road
2023-03-01 to 2023-03-31. Al majordah - Al Qouz
2023-03-01 to 2023-03-31. Abha to Darb Road
2023-03-01 to 2023-03-31. Taif to Abha Road
2023-03-01 to 2023-03-31. Abha to Taif Road
2023-03-01 to 2023-03-31. Al Soudha to Abha Road - to be removed
2023-03-01 to 2023-03-31. Abha to Al Soudha - to be removed
2023-03-01 to 2023-03-31. Riyadh to Bisha Road
2023-03-01 to 2023-03-31. Riyadh to Khamis Musiet Road
2023-03-01 to 2023-03-31. Khamis Mushyit to Najran Road
2023-03-01 to 2023-03-31. Najran to Khamis Mushyit Road
2023-03-01 to 2023-03-31. Sheaar to Amohaiyl Road
2023-03-01 to 2023-03-31. Bisha to Al Alaia Road
2023-03-01 to 2023-03-31. Kodmi to Harud Road
2023-03-01 to 2023-03-31. Abu Arish to Ahad Al Masarihan
